FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
ES050A,499,Sa_DigMSB.c,DigMSB_Per2,1192-1222,I,""
ES050A,495,Sa_DigMSB.c,DigMSB_Per2,1192-1222,I,""
ES050A,491,Sa_DigMSB.c,DigMSB_Per2,1192-1222,I,""
ES050A,493,Sa_DigMSB.c,DigMSB_Per2,1192-1222,I,""
ES050A,542,Sa_DigMSB.c,DigMSB_Per3,1476-1506,I,"According to FDD faults are determined in 2ms loop; but the reset is done in 100ms loop"
ES050A,543,Sa_DigMSB.c,DigMSB_Per1,"1560-1563,1580,1649,1660-1667",I,""
ES050A,540,Sa_DigMSB.c,DigMSB_Per2,1381-1401,I,""
ES050A,541,Sa_DigMSB.c,DigMSB_Per2,1356-1378,I,""
ES050A,547,Sa_DigMSB.c,DigMSB_Init,769-778,I,""
ES050A,400,Sa_DigMSB.c,DigMSB_Per2,1013-1035,I,""
ES050A,549,Sa_DigMSB.c,DigMSB_Init,770,I,""
ES050A,439,Sa_DigMSB.c,"N/A,DigMSB_Per1","150,1621-1646,1650",I,""
ES050A,424,Sa_DigMSB.c,DigMSB_Per2,1056,I,""
ES050A,537,Sa_DigMSB.c,DigMSB_Per1,"1555,1655",I,""
ES050A,536,Sa_DigMSB.c,DigMSB_Per2,"1246,1247",I,""
ES050A,535,Sa_DigMSB.c,DigMSB_Per2,1234,I,""
ES050A,534,Sa_DigMSB.c,DigMSB_Per1,"1616,1653",I,""
ES050A,533,Sa_DigMSB.c,DigMSB_Per1,1582-1612,I,""
ES050A,539,Sa_DigMSB.c,DigMSB_Per2,"1405,1410",I,""
ES050A,538,Sa_DigMSB.c,DigMSB_Per1,"1555,1656",I,""
ES050A,591,Sa_DigMSB.c,DigMSB_Per2,1236-1241,I,""
ES050A,590,Sa_DigMSB.c,DigMSB_Per1,1607-1612,I,""
ES050A,595,Sa_DigMSB.c,DigMSB_Per2,1419,N,"This service is implemented inside the CMS (Common Manufacturing Service) component"
ES050A,594,Sa_DigMSB.c,"DigMSB_Init,DigMSB_Per2,DigMSB_Per1","764,766,1228,1243,1599,1617",I,"Actual function is implemented inside the CMS (Common Manufacturing Service) component,Actual function is implemented inside the CMS (Common Manufacturing Service) component,Actual function is implemented inside the CMS (Common Manufacturing Service) component,Actual function is implemented inside the CMS (Common Manufacturing Service) component,Actual function is implemented inside the CMS (Common Manufacturing Service) component,Actual function is implemented inside the CMS (Common Manufacturing Service) component"
ES050A,597,Sa_DigMSB.c,DigMSB_Per1,"1560-1563,1580",I,""
ES050A,596,Sa_DigMSB.c,"DigMSB_Init,DigMSB_Per2,DigMSB_Per1","764,766,1228,1243,1599,1616",I,""
