FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF049A,199,Ap_LoaMgr.c,RqstHwTqResp,1128,I,""
SF049A,154,Ap_LoaMgr.c,"LoaMgr_Init1,LoaMgr_Per1","664,817-822",I,""
SF049A,197,Ap_LoaMgr.c,RqstRespConds,984-1022,I,""
SF049A,70,Ap_LoaMgr.c,ArbResp,1202-1212,I,""
SF049A,193,Ap_LoaMgr.c,RqstRespConds,982,I,""
SF049A,115,Ap_LoaMgr.c,"LoaMgr_Init1,LoaMgr_Per1","659,786-798",I,""
SF049A,68,Ap_LoaMgr.c,ArbResp,1192-1234,I,""
SF049A,62,Ap_LoaMgr.c,RqstRespConds,984-1022,I,""
SF049A,202,Ap_LoaMgr.c,LoaMgr_Per1,767,I,""
SF049A,111,Ap_LoaMgr.c,LoaMgr_Per1,833,I,""
SF049A,136,Ap_LoaMgr.c,"LoaMgr_Init1,LoaMgr_Per1","662,805-810",I,""
SF049A,179,Ap_LoaMgr.c,RqstRespConds,1068,I,""
SF049A,178,Ap_LoaMgr.c,"LoaMgr_Init1,LatchInputs,RqstRespConds","657,944,949,1067",I,""
SF049A,177,Ap_LoaMgr.c,"LoaMgr_Init1,LatchInputs,RqstRespConds","655,943,948,1066",I,""
SF049A,176,Ap_LoaMgr.c,"LoaMgr_Init1,LatchInputs,RqstRespConds","656,942,947,1059-1063",I,""
SF049A,175,Ap_LoaMgr.c,"LoaMgr_Init1,LatchInputs,RqstRespConds,RqstHwTqResp","654,941,946,1065,1153",I,""
SF049A,81,Ap_LoaMgr.c,ArbResp,1261-1270,I,""
SF049A,173,Ap_LoaMgr.c,LoaMgr_Init1,653,I,""
SF049A,118,Ap_LoaMgr.c,"LoaMgr_Init1,LoaMgr_Per1","660,786-798",I,""
SF049A,84,Ap_LoaMgr.c,ChooseFinalResp,1290-1319,I,""
SF049A,198,Ap_LoaMgr.c,RqstRespConds,984-1022,I,""
SF049A,104,Ap_LoaMgr.c,SwBasMtgtn,"1466,1467,1481,1482,1496,1497",I,""
SF049A,48,Ap_LoaMgr.c,LoaMgr_Per1,839,I,""
SF049A,49,Ap_LoaMgr.c,LoaMgr_Per1,837,I,""
SF049A,46,Ap_LoaMgr.c,LoaMgr_Per1,836,I,""
SF049A,47,Ap_LoaMgr.c,LoaMgr_Per1,838,I,""
SF049A,44,Ap_LoaMgr.c,LoaMgr_Per1,759,I,""
SF049A,102,Ap_LoaMgr.c,SwBasMtgtn,1429-1442,I,""
SF049A,43,Ap_LoaMgr.c,LoaMgr_Per1,762,I,""
SF049A,105,Ap_LoaMgr.c,SwBasMtgtn,"1459,1474,1489",I,""
SF049A,94,Ap_LoaMgr.c,AssignScale,1336,I,""
SF049A,183,Ap_LoaMgr.c,LoaMgr_Per1,769-774,I,""
SF049A,96,Ap_LoaMgr.c,AssignScale,1338,I,""
SF049A,186,Ap_LoaMgr.c,LatchInputs,908-917,I,""
SF049A,187,Ap_LoaMgr.c,LatchInputs,918-927,I,""
SF049A,184,Ap_LoaMgr.c,LoaMgr_Per1,760,I,""
SF049A,208,Ap_LoaMgr.c,AssignScale,1347-1362,I,""
SF049A,188,Ap_LoaMgr.c,LatchInputs,928-937,I,""
SF049A,189,Ap_LoaMgr.c,LoaMgr_Per1,765,I,""
SF049A,209,Ap_LoaMgr.c,SwBasMtgtn,1423-1517,I,""
SF049A,200,Ap_LoaMgr.c,RqstRespConds,1051-1055,I,""
SF049A,203,Ap_LoaMgr.c,LoaMgr_Per1,825-830,I,""
