FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF020A,127,Ap_PosServo.c,"PIDControl,OutputTorque","516-526,614-628",I,""
SF020A,128,Ap_PosServo.c,OutputTorque,630-637,I,""
SF020A,117,Ap_PosServo.c,PIDControl,"531-561,580",I,""
SF020A,116,Ap_PosServo.c,PIDControl,531-561,I,""
SF020A,137,Ap_PosServo.c,TransitionControl,"438,450",I,""
SF020A,136,Ap_PosServo.c,TransitionControl,"433,444",I,""
SF020A,112,Ap_PosServo.c,PIDControl,515-528,I,""
SF020A,139,Ap_PosServo.c,TransitionControl,443-451,I,""
SF020A,138,Ap_PosServo.c,TransitionControl,438,I,""
SF020A,129,Ap_PosServo.c,OutputTorque,639,I,""
SF020A,9,Ap_PosServo.c,PosServo_Per1,279,I,""
SF020A,142,Ap_PosServo.c,FilterDesiredAngle,399,I,""
SF020A,143,Ap_PosServo.c,PIDControl,499,I,""
SF020A,140,Ap_PosServo.c,TransitionControl,466,I,""
SF020A,141,Ap_PosServo.c,FilterDesiredAngle,405,I,""
SF020A,99,Ap_PosServo.c,FilterDesiredAngle,372,I,""
SF020A,98,Ap_PosServo.c,FilterDesiredAngle,367,I,""
SF020A,123,Ap_PosServo.c,PIDControl,585,I,""
SF020A,125,Ap_PosServo.c,PIDControl,502-507,I,""
SF020A,71,Ap_PosServo.c,TransitionControl,465,I,""
SF020A,70,Ap_PosServo.c,TransitionControl,454-463,I,""
SF020A,102,Ap_PosServo.c,PIDControl,512,I,""
SF020A,103,Ap_PosServo.c,PIDControl,499,I,""
SF020A,100,Ap_PosServo.c,FilterDesiredAngle,375-387,I,""
SF020A,101,Ap_PosServo.c,FilterDesiredAngle,394,I,""
SF020A,104,Ap_PosServo.c,PIDControl,499,I,""
SF020A,96,Ap_PosServo.c,TransitionControl,465,I,""
SF020A,11,Ap_PosServo.c,PosServo_Per1,318,I,""
SF020A,120,Ap_PosServo.c,PIDControl,564-575,I,""
SF020A,38,Ap_PosServo.c,PosServo_Per1,320,I,""
SF020A,121,Ap_PosServo.c,PIDControl,577,I,""
SF020A,33,Ap_PosServo.c,PosServo_Per1,280,I,""
SF020A,32,Ap_PosServo.c,PosServo_Per1,281,I,""
SF020A,37,Ap_PosServo.c,PosServo_Per1,319,I,""
SF020A,36,Ap_PosServo.c,PosServo_Per1,278,I,""
SF020A,35,Ap_PosServo.c,PosServo_Per1,277,I,""
SF020A,34,Ap_PosServo.c,PosServo_Per1,276,I,""
SF020A,130,Ap_PosServo.c,OutputTorque,639,I,""
